,JAHR,MONAT,ZNR,ZNAME,STRTYP,STRNR,RINAME,FZTYP,DTVMS,DTVMF,DTVMO,DTVDD,DTVFR,DTVSA,DTVSF,TVMAX,TVMAXT,DATUM
139,2024,12,1198,Brünner Straße,B,7,Zentrum,LkwÄ,320,434,438,445,398,199,65,576,"Mo,09.12.",2024-12-01
140,2024,12,1198,Brünner Straße,B,7,Wolkersdorf,Kfz,7058,8056,8167,7929,8268,7391,4017,8883,"Fr,20.12.",2024-12-01
141,2024,12,1198,Brünner Straße,B,7,Wolkersdorf,LkwÄ,293,393,390,405,365,194,62,496,"Di,03.12.",2024-12-01
142,2024,12,1198,Brünner Straße,B,7,Gesamt,Kfz,15382,17648,17939,17317,18191,16222,8429,19407,"Fr,13.12.",2024-12-01
143,2024,12,1198,Brünner Straße,B,7,Gesamt,LkwÄ,613,827,829,850,762,392,128,1072,"Mo,09.12.",2024-12-01
150,2024,12,1200,Vorarlberger Allee West,G,0,Zentrum,Kfz,5776,7367,7386,7471,7055,3960,2268,8714,"*Di,17.12.",2024-12-01
151,2024,12,1200,Vorarlberger Allee West,G,0,Zentrum,LkwÄ,712,998,1037,990,974,258,152,1231,"Mi,04.12.",2024-12-01
152,2024,12,1200,Vorarlberger Allee West,G,0,S1,Kfz,5746,7317,7148,7498,7032,3910,2307,9432,"*Mi,18.12.",2024-12-01
153,2024,12,1200,Vorarlberger Allee West,G,0,S1,LkwÄ,782,1102,1121,1107,1061,276,159,1361,"*Di,03.12.",2024-12-01
154,2024,12,1200,Vorarlberger Allee West,G,0,Gesamt,Kfz,11522,14684,14534,14970,14086,7869,4575,18054,"*Mi,18.12.",2024-12-01
155,2024,12,1200,Vorarlberger Allee West,G,0,Gesamt,LkwÄ,1494,2100,2159,2097,2035,534,311,2584,"*Di,03.12.",2024-12-01
156,2024,12,1201,Vorarlberger Allee Ost,G,0,Laxenburger Str.,Kfz,3066,4046,3984,4054,4103,1928,915,5199,"Fr,20.12.",2024-12-01
157,2024,12,1201,Vorarlberger Allee Ost,G,0,Laxenburger Str.,LkwÄ,714,998,990,1001,998,250,169,1283,"Do,05.12.",2024-12-01
158,2024,12,1201,Vorarlberger Allee Ost,G,0,S1,Kfz,2934,3894,3989,3876,3826,1784,848,4469,"Do,05.12.",2024-12-01
159,2024,12,1201,Vorarlberger Allee Ost,G,0,S1,LkwÄ,591,829,868,814,822,187,140,989,"Mo,09.12.",2024-12-01
160,2024,12,1201,Vorarlberger Allee Ost,G,0,Gesamt,Kfz,6000,7940,7973,7930,7929,3712,1763,9532,"*Mi,18.12.",2024-12-01
161,2024,12,1201,Vorarlberger Allee Ost,G,0,Gesamt,LkwÄ,1305,1827,1858,1815,1820,437,310,2269,"Do,05.12.",2024-12-01
162,2024,12,1202,Spange Vösendorf,G,0,Vösendorf,Kfz,5754,7052,7194,6990,7046,4976,2490,8060,"Di,03.12.",2024-12-01
163,2024,12,1202,Spange Vösendorf,G,0,Vösendorf,LkwÄ,329,475,482,498,405,96,47,639,"*Mo,16.12.",2024-12-01
164,2024,12,1202,Spange Vösendorf,G,0,S1,Kfz,5722,7041,7142,6967,7117,5091,2317,8110,"*Do,19.12.",2024-12-01
165,2024,12,1202,Spange Vösendorf,G,0,S1,LkwÄ,331,475,453,505,421,110,47,666,"Do,05.12.",2024-12-01
166,2024,12,1202,Spange Vösendorf,G,0,Gesamt,Kfz,11477,14093,14336,13957,14162,10067,4807,16022,"Do,05.12.",2024-12-01
167,2024,12,1202,Spange Vösendorf,G,0,Gesamt,LkwÄ,661,950,935,1003,826,206,94,1268,"*Mi,18.12.",2024-12-01
180,2024,12,1205,Hernalser Hauptstraße,G,0,Zentrum,Kfz,8420,8810,8426,8850,9180,8570,7222,10109,"*Fr,13.12.",2024-12-01
181,2024,12,1205,Hernalser Hauptstraße,G,0,Zentrum,LkwÄ,166,224,206,243,194,97,39,307,"*Do,12.12.",2024-12-01
182,2024,12,1205,Hernalser Hauptstraße,G,0,Dornbach,Kfz,7283,7713,7757,7591,7994,7283,6054,9132,"Mo,02.12.",2024-12-01
183,2024,12,1205,Hernalser Hauptstraße,G,0,Dornbach,LkwÄ,137,189,182,207,150,64,30,302,"*Mi,18.12.",2024-12-01
184,2024,12,1205,Hernalser Hauptstraße,G,0,Gesamt,Kfz,15703,16523,16183,16441,17174,15853,13276,19133,"*Fr,13.12.",2024-12-01
185,2024,12,1205,Hernalser Hauptstraße,G,0,Gesamt,LkwÄ,303,413,388,450,344,161,69,607,"*Do,12.12.",2024-12-01
186,2024,12,1206,Hütteldorfer Straße,G,0,Zentrum,Kfz,5707,6312,6179,6266,6604,5554,4067,7273,"Fr,20.12.",2024-12-01
187,2024,12,1206,Hütteldorfer Straße,G,0,Zentrum,LkwÄ,74,104,105,101,110,28,13,131,"Mi,11.12.",2024-12-01
188,2024,12,1206,Hütteldorfer Straße,G,0,Hütteldorf,Kfz,5007,5466,5315,5457,5678,5094,3648,6260,"Fr,20.12.",2024-12-01
189,2024,12,1206,Hütteldorfer Straße,G,0,Hütteldorf,LkwÄ,64,87,87,87,88,29,17,112,"Do,12.12.",2024-12-01
190,2024,12,1206,Hütteldorfer Straße,G,0,Gesamt,Kfz,10714,11777,11494,11723,12281,10648,7715,13533,"Fr,20.12.",2024-12-01
191,2024,12,1206,Hütteldorfer Straße,G,0,Gesamt,LkwÄ,138,191,192,188,198,58,31,234,"Mi,11.12.",2024-12-01
192,2024,12,1207,Altmannsdorfer Straße II,B,224,Zentrum,Kfz,19731,20754,20322,20653,21569,19608,16880,22681,"Fr,13.12.",2024-12-01
193,2024,12,1207,Altmannsdorfer Straße II,B,224,Zentrum,LkwÄ,793,1108,1098,1136,1045,334,156,1365,"Mi,11.12.",2024-12-01
194,2024,12,1207,Altmannsdorfer Straße II,B,224,Vösendorf,Kfz,24248,25688,25061,25677,26500,24700,19876,28199,"Fr,13.12.",2024-12-01
195,2024,12,1207,Altmannsdorfer Straße II,B,224,Vösendorf,LkwÄ,845,1155,1133,1208,1038,450,185,1508,"Mi,04.12.",2024-12-01
196,2024,12,1207,Altmannsdorfer Straße II,B,224,Gesamt,Kfz,43979,46441,45383,46330,48069,44308,36757,50880,"Fr,13.12.",2024-12-01
197,2024,12,1207,Altmannsdorfer Straße II,B,224,Gesamt,LkwÄ,1639,2264,2232,2344,2083,784,341,2831,"Mo,02.12.",2024-12-01
198,2024,12,1208,Wienerbergstraße,B,225,Breitenfurter Straße,Kfz,9626,11163,10740,11545,10639,7992,6167,13286,"Mi,18.12.",2024-12-01
199,2024,12,1208,Wienerbergstraße,B,225,Breitenfurter Straße,LkwÄ,481,594,591,615,544,309,257,751,"Mi,04.12.",2024-12-01
200,2024,12,1208,Wienerbergstraße,B,225,Triester Straße,Kfz,8771,10243,9947,10419,10129,7290,5413,11977,"Do,19.12.",2024-12-01
201,2024,12,1208,Wienerbergstraße,B,225,Triester Straße,LkwÄ,511,651,665,653,627,288,237,780,"Di,10.12.",2024-12-01
202,2024,12,1208,Wienerbergstraße,B,225,Gesamt,Kfz,18397,21406,20688,21964,20768,15282,11580,25228,"Do,19.12.",2024-12-01
